SURVEY,SAMPLE_DATE,TAXON_NAME,TAXON_GROUP,ABUNDANCE_M3
Ajani,1998-11-05 00:00:00,Licmophora cf. gracilis,Diatom,0
Ajani,1998-11-05 00:00:00,Lithodesmium cf. undulatum,Diatom,0
Ajani,1998-11-05 00:00:00,Melosira nummuloides,Diatom,0
Ajani,1998-11-05 00:00:00,Meuniera membranacea,Diatom,5003
Ajani,1998-11-05 00:00:00,Navicula spp.,Diatom,0
Ajani,1998-11-05 00:00:00,Nitzschia spp.,Diatom,0
Ajani,1998-11-05 00:00:00,Nitzschia bicapitata,Diatom,0
Ajani,1998-11-05 00:00:00,Odontella spp.,Diatom,0
Ajani,1998-11-05 00:00:00,Odontella sinensis,Diatom,0
Ajani,1998-11-05 00:00:00,Planktoniella sol,Diatom,0
Ajani,1998-11-05 00:00:00,Pleurosigma / Gyrosigma spp.,Diatom,0
Ajani,1998-11-05 00:00:00,Pseudo-nitzschia spp.,Diatom,790536
Ajani,1998-11-05 00:00:00,Proboscia alata,Diatom,15010
Ajani,1998-11-05 00:00:00,Rhizosolenia setigera,Diatom,0
Ajani,1998-11-05 00:00:00,Rhizosolenia styliformis group,Diatom,0
Ajani,1998-11-05 00:00:00,Rhizosolenia imbricata group,Diatom,0
Ajani,1998-11-05 00:00:00,Rhizosolenia fallax group,Diatom,0
Ajani,1998-11-05 00:00:00,Skeletonema spp.,Diatom,0
Ajani,1998-11-05 00:00:00,Stephanopyxis turris,Diatom,100068
Ajani,1998-11-05 00:00:00,Thalassionema frauenfeldii,Diatom,0
Ajani,1998-11-05 00:00:00,Thalassiosira cf. partheneia,Diatom,100068
Ajani,1998-11-05 00:00:00,Thalassiosira cf. punctigera,Diatom,0
Ajani,1998-11-05 00:00:00,Thalassiosira gravida,Diatom,0
Ajani,1998-11-05 00:00:00,Thalassiosira spp.,Diatom,75051
Ajani,1998-11-05 00:00:00,Thalassionemataceae,Diatom,10007
Ajani,1998-11-05 00:00:00,Trigonium cf. spp.,Diatom,0
Ajani,1998-11-05 00:00:00,Pennate diatom,Diatom,0
Ajani,1998-11-05 00:00:00,Centric diatom,Diatom,0
Ajani,1998-11-05 00:00:00,Pyramimonas spp.,Flagellate,0
Ajani,1998-11-05 00:00:00,Eutreptiella spp.,Flagellate,0
Ajani,1998-11-05 00:00:00,Cryptomonadales,Flagellate,0
Ajani,1998-11-05 00:00:00,Euglenida,Flagellate,0
Ajani,1998-11-05 00:00:00,Phacus spp.,Flagellate,0
Ajani,1998-11-05 00:00:00,Chattonella marina var. ovata,Flagellate,0
Ajani,1998-11-05 00:00:00,Raphidophytes,Flagellate,0
Ajani,1998-11-05 00:00:00,Emiliana/Gephyrocapsa,Coccolithophore,0
Ajani,1998-11-05 00:00:00,Dictyocha fibula,Silicoflagellate,0
Ajani,1998-11-05 00:00:00,Octactis octonaria,Silicoflagellate,10007
Ajani,1998-11-05 00:00:00,Ebria tripartita,Other,0
Ajani,1998-11-05 00:00:00,Trichodesmium erythraeum,Cyanobacteria,0
Ajani,1998-11-05 00:00:00,Flagellate,Flagellate,15010
Ajani,1998-11-05 00:00:00,Choanoflagellatea,Flagellate,0
Ajani,1998-11-12 00:00:00,Actiniscus pentasterias,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Alexandrium cf. spp.,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Amphidinium spp.,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Amphisolenia spp.,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Amphisolenia bidentata,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Brachidinium capitatum,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Tripos candelabrus,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Tripos concilians,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Tripos contortus,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Tripos falcatus,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Tripos furca,Dinoflagellate,300204
Ajani,1998-11-12 00:00:00,Tripos fusus,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Tripos gravidus,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Tripos incisus,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Tripos kofoidii,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Tripos longirostrus,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Tripos lineatus,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Tripos cf. macroceros,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Tripos cf. pentagonus,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Tripos symmetricus,Dinoflagellate,0
Ajani,1998-11-12 00:00:00,Tripos tenuis,Dinoflagellate,0
Ajani,1998-08-30 00:00:00,Actiniscus pentasterias,Dinoflagellate,0
Ajani,1998-08-30 00:00:00,Alexandrium cf. spp.,Dinoflagellate,0
