PROJECT,SAMPLE_ID,STATION,SAMPLE_DATE,TAXON,ABUNDANCE,SST
cpr,100_101,SYME,2011-05-18T21:38:37,Coscinodiscus spp. > 80 µm,0.6667,15.65
cpr,100_21,SYME,2011-05-17T19:20:25,Coscinodiscus spp. > 80 µm,3.3333,18.9
cpr,100_25,SYME,2011-05-17T20:39:19,Coscinodiscus spp. > 80 µm,6.6667,18.76
cpr,100_25,SYME,2011-05-17T20:39:19,Dictyocha fibula,3.3333,18.76
cpr,100_29,SYME,2011-05-17T21:58:14,Coscinodiscus spp. > 80 µm,10,18.84
cpr,100_33,SYME,2011-05-17T23:17:09,Thalassiosira spp. 10-20 µm,33.3333,18.73
cpr,100_45,SYME,2011-05-18T03:13:53,Coscinodiscus spp. > 80 µm,0.6667,18.34
cpr,100_45,SYME,2011-05-18T03:13:53,Tripos vultur,0.6667,18.34
cpr,100_49,SYME,2011-05-18T04:32:47,Tripos muelleri type,0.6667,16.62
cpr,100_5,SYME,2011-05-17T14:04:46,Coscinodiscus spp. > 80 µm,3.3333,20.54
cpr,100_5,SYME,2011-05-17T14:04:46,Thalassiosira spp. 10-20 µm,20,20.54
cpr,100_69,SYME,2011-05-18T11:07:20,Coscinodiscus spp. > 80 µm,0.6667,16.1
cpr,100_85,SYME,2011-05-18T16:22:59,Tripos fusus,3.3333,15.66
cpr,100_93,SYME,2011-05-18T19:00:48,Tripos vultur,0.6667,15.54
cpr,108_1,SYME,2011-07-27T19:14:03,Thalassiosira spp. 10-20 µm,3.3667,18.5
cpr,108_1,SYME,2011-07-27T19:14:03,Tripos carriensis,0.6733,18.5
cpr,108_1,SYME,2011-07-27T19:14:03,Tripos ranipes,0.6733,18.5
cpr,108_13,SYME,2011-07-27T22:27:12,Tripos carriensis,0.6733,18.68
cpr,108_17,SYME,2011-07-27T23:31:35,Coscinodiscus spp. > 80 µm,0.6733,18.3
cpr,108_17,SYME,2011-07-27T23:31:35,Thalassiosira spp. 10-20 µm,6.7333,18.3
cpr,108_17,SYME,2011-07-27T23:31:35,Tripos carriensis,0.6733,18.3
cpr,108_21,SYME,2011-07-28T00:35:58,Coscinodiscus spp. > 80 µm,0.6733,18.24
cpr,108_21,SYME,2011-07-28T00:35:58,Thalassiosira spp. 10-20 µm,13.4667,18.24
cpr,108_21,SYME,2011-07-28T00:35:58,Tripos carriensis,0.6733,18.24
cpr,108_25,SYME,2011-07-28T01:40:21,Thalassiosira spp. 10-20 µm,10.1,17.66
cpr,108_25,SYME,2011-07-28T01:40:21,Tripos carriensis,0.6733,17.66
cpr,108_29,SYME,2011-07-28T02:44:44,Coscinodiscus spp. > 80 µm,0.6733,17.68
cpr,108_29,SYME,2011-07-28T02:44:44,Thalassiosira spp. 10-20 µm,10.1,17.68
cpr,108_29,SYME,2011-07-28T02:44:44,Tripos carriensis,0.6733,17.68
cpr,108_33,SYME,2011-07-28T03:49:07,Thalassiosira spp. 10-20 µm,10.1,17.44
cpr,108_33,SYME,2011-07-28T03:49:07,Tripos carriensis,0.6733,17.44
cpr,108_37,SYME,2011-07-28T04:53:30,Thalassiosira spp. 10-20 µm,6.7333,18.79
cpr,108_41,SYME,2011-07-28T05:57:53,Coscinodiscus spp. > 80 µm,0.6733,17.21
cpr,108_41,SYME,2011-07-28T05:57:53,Thalassiosira spp. 10-20 µm,23.5667,17.21
cpr,108_45,SYME,2011-07-28T07:02:16,Coscinodiscus spp. > 80 µm,0.6733,15.95
cpr,108_45,SYME,2011-07-28T07:02:16,Thalassiosira spp. 10-20 µm,30.3,15.95
cpr,108_49,SYME,2011-07-28T08:06:39,Thalassiosira spp. 10-20 µm,70.7,15.4
cpr,108_5,SYME,2011-07-27T20:18:26,Coscinodiscus spp. > 80 µm,0.6733,18.52
cpr,108_5,SYME,2011-07-27T20:18:26,Thalassiosira spp. 10-20 µm,3.3667,18.52
