SURVEY,SAMPLE_DATE,TAXON_NAME,TAXON_GROUP,ABUNDANCE_M3
DC,1931-04-10 00:00:00,Guinardia striata,Diatom,7000
DC,1931-04-10 00:00:00,Guinardia flaccida,Diatom,10000
DC,1931-04-10 00:00:00,Proboscia alata,Diatom,24000
DC,1931-04-10 00:00:00,Leptocylindrus danicus,Diatom,55500
DC,1931-05-01 00:00:00,Leptocylindrus mediterraneus,Diatom,200
DC,1931-05-01 00:00:00,Rhizosolenia spp.,Diatom,200
DC,1931-05-01 00:00:00,Climacodium frauenfeldianum,Diatom,230
DC,1931-05-01 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,400
DC,1931-05-01 00:00:00,Tripos furca,Dinoflagellate,600
DC,1931-05-01 00:00:00,Tripos muelleri,Dinoflagellate,1200
DC,1931-05-01 00:00:00,Dinophysis tripos,Dinoflagellate,1600
DC,1931-06-21 00:00:00,Thalassiosira subtilis,Diatom,70
DC,1931-06-21 00:00:00,Climacodium biconcavum,Diatom,250
DC,1931-06-21 00:00:00,Favella campanula,Ciliate,250
DC,1931-06-21 00:00:00,Thalassiosira rotula,Diatom,300
DC,1931-06-21 00:00:00,Proboscia alata,Diatom,900
DC,1931-06-21 00:00:00,Oscillatoria spp.,Cyanobacteria,900
DC,1931-06-21 00:00:00,Thalassiosira condensata,Diatom,3600
DC,1931-07-02 00:00:00,Bacteriastrum spp.,Diatom,70
DC,1931-07-02 00:00:00,Leptocylindrus mediterraneus,Diatom,200
DC,1931-07-02 00:00:00,Asterionellopsis glacialis,Diatom,400
DC,1931-07-02 00:00:00,Stephanopyxis spp.,Diatom,400
DC,1931-07-02 00:00:00,Helicotheca tamesis,Diatom,400
DC,1931-07-02 00:00:00,Tripos furca,Dinoflagellate,440
DC,1931-07-02 00:00:00,Thalassiosira subtilis,Diatom,600
DC,1931-07-02 00:00:00,Protoperidinium spp.,Dinoflagellate,880
DC,1931-07-18 00:00:00,Leptocylindrus mediterraneus,Diatom,300
DC,1931-07-18 00:00:00,Proboscia alata,Diatom,300
DC,1931-07-18 00:00:00,Dinophysis tripos,Dinoflagellate,300
DC,1931-07-18 00:00:00,Bacteriastrum spp.,Diatom,600
DC,1931-07-18 00:00:00,Ditylum brightwellii < 40 µm width,Diatom,600
DC,1931-07-18 00:00:00,Planktoniella sol,Diatom,900
DC,1931-07-18 00:00:00,Thalassionema nitzschioides,Diatom,900
DC,1931-07-18 00:00:00,Rhizosolenia spp.,Diatom,1200
DC,1931-07-18 00:00:00,Chaetoceros spp.,Diatom,1500
DC,1931-07-18 00:00:00,Coscinodiscus spp.,Diatom,3300
DC,1931-08-02 00:00:00,Chaetoceros socialis,Diatom,440
DC,1931-08-02 00:00:00,Helicotheca tamesis,Diatom,1600
DC,1931-08-02 00:00:00,Chaetoceros spp.,Diatom,6160
DC,1931-08-02 00:00:00,Odontella mobiliensis,Diatom,6600
DC,1931-08-02 00:00:00,Ditylum brightwellii < 40 µm width,Diatom,7480
DC,1931-08-02 00:00:00,Thalassiosira spp.,Diatom,22000
DC,1931-08-08 00:00:00,Bacteriastrum spp.,Diatom,70
DC,1931-08-08 00:00:00,Rhizosolenia spp.,Diatom,720
DC,1931-08-08 00:00:00,Guinardia striata,Diatom,720
DC,1931-08-08 00:00:00,Chaetoceros socialis,Diatom,6000
DC,1931-08-08 00:00:00,Chaetoceros spp.,Diatom,10080
DC,1931-08-08 00:00:00,Asterionellopsis glacialis,Diatom,46520
DC,1931-08-08 00:00:00,Thalassiosira condensata,Diatom,172800
DC,1931-08-12 00:00:00,Eucampia zodiacus,Diatom,700
DC,1931-08-12 00:00:00,Tintinnopsis radix,Ciliate,700
DC,1931-08-12 00:00:00,Gymnodinium spp.,Dinoflagellate,700
DC,1931-08-12 00:00:00,Thalassiosira rotula,Diatom,1400
DC,1931-08-12 00:00:00,Protoperidinium spp.,Dinoflagellate,2800
DC,1931-08-12 00:00:00,Coscinodiscus concinnus,Diatom,5600
