SURVEY,SAMPLE_DATE,TAXON_NAME,TAXON_GROUP,ABUNDANCE_M3
IMOS,2009-08-20 00:00:00,Asterionellopsis glacialis,Diatom,241000
IMOS,2009-08-20 00:00:00,Cerataulina pelagica,Diatom,161000
IMOS,2009-08-20 00:00:00,Chaetoceros spp. 20-30 µm,Diatom,161000
IMOS,2009-08-20 00:00:00,Chaetoceros spp. < 10 µm cell width,Diatom,80000
IMOS,2009-08-20 00:00:00,Cylindrotheca closterium,Diatom,201000
IMOS,2009-08-20 00:00:00,Dactyliosolen fragilissimus,Diatom,121000
IMOS,2009-08-20 00:00:00,Detonula pumila,Diatom,161000
IMOS,2009-08-20 00:00:00,Guinardia delicatula,Diatom,844000
IMOS,2009-08-20 00:00:00,Gyrodinium spp.,Dinoflagellate,563000
IMOS,2009-08-20 00:00:00,Hemiaulus spp.,Diatom,80000
IMOS,2009-08-20 00:00:00,Lauderia annulata < 70 µm length,Diatom,563000
IMOS,2009-08-20 00:00:00,Leptocylindrus danicus,Diatom,1608000
IMOS,2009-08-20 00:00:00,Leptocylindrus mediterraneus,Diatom,161000
IMOS,2009-08-20 00:00:00,Leptocylindrus minimus,Diatom,24121000
IMOS,2009-08-20 00:00:00,Noctiluca scintillans,Dinoflagellate,137000
IMOS,2009-08-20 00:00:00,Oxytoxum spp.,Dinoflagellate,40000
IMOS,2009-08-20 00:00:00,Pleurosigma spp. < 150 µm,Diatom,40000
IMOS,2009-08-20 00:00:00,Protoperidinium spp.,Dinoflagellate,121000
IMOS,2009-08-20 00:00:00,Pseudo-nitzschia delicatissima complex <=3 µm,Diatom,4342000
IMOS,2009-08-20 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,4020000
IMOS,2009-08-20 00:00:00,Rhizosolenia setigera,Diatom,40000
IMOS,2009-08-20 00:00:00,Stephanopyxis spp.,Diatom,241000
IMOS,2009-08-20 00:00:00,Thalassiosira gravida,Diatom,80000
IMOS,2009-08-20 00:00:00,Thalassiosira spp. 10-20 µm,Diatom,80000
IMOS,2009-08-20 00:00:00,Tripos spp.,Dinoflagellate,40000
IMOS,2010-01-20 00:00:00,Amphidinium spp. <30 µm cell height,Dinoflagellate,369000
IMOS,2010-01-20 00:00:00,Bacteriastrum spp.,Diatom,4062000
IMOS,2010-01-20 00:00:00,Cerataulina pelagica,Diatom,185000
IMOS,2010-01-20 00:00:00,Chaetoceros spp. 20-30 µm,Diatom,4800000
IMOS,2010-01-20 00:00:00,Chaetoceros spp. < 10 µm cell width,Diatom,23077000
IMOS,2010-01-20 00:00:00,Climacodium spp.,Diatom,222000
IMOS,2010-01-20 00:00:00,Cylindrotheca closterium,Diatom,11262000
IMOS,2010-01-20 00:00:00,Dactyliosolen fragilissimus,Diatom,12738000
IMOS,2010-01-20 00:00:00,Dinophysis acuminata,Dinoflagellate,554000
IMOS,2010-01-20 00:00:00,Dinophysis tripos,Dinoflagellate,369000
IMOS,2010-01-20 00:00:00,Eucampia spp. <100 µm cell length,Diatom,738000
IMOS,2010-01-20 00:00:00,Guinardia delicatula,Diatom,7385000
IMOS,2010-01-20 00:00:00,Guinardia flaccida <150 µm length,Diatom,185000
IMOS,2010-01-20 00:00:00,Guinardia striata,Diatom,923000
IMOS,2010-01-20 00:00:00,Gyrodinium spp.,Dinoflagellate,185000
IMOS,2010-01-20 00:00:00,Hemiaulus spp.,Diatom,369000
IMOS,2010-01-20 00:00:00,Leptocylindrus danicus,Diatom,45969000
IMOS,2010-01-20 00:00:00,Leptocylindrus minimus,Diatom,14215000
IMOS,2010-01-20 00:00:00,Licmophora spp. < 150 µm,Diatom,185000
IMOS,2010-01-20 00:00:00,Noctiluca scintillans,Dinoflagellate,55000
IMOS,2010-01-20 00:00:00,Pleurosigma spp. < 150 µm,Diatom,185000
IMOS,2010-01-20 00:00:00,Proboscia alata,Diatom,554000
IMOS,2010-01-20 00:00:00,Protoperidinium oceanicum,Dinoflagellate,185000
IMOS,2010-01-20 00:00:00,Protoperidinium pellucidum,Dinoflagellate,185000
IMOS,2010-01-20 00:00:00,Protoperidinium spp.,Dinoflagellate,1662000
IMOS,2010-01-20 00:00:00,Pseudo-nitzschia delicatissima complex <=3 µm,Diatom,47446000
IMOS,2010-01-20 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,7385000
IMOS,2010-01-20 00:00:00,Rhizosolenia fallax,Diatom,738000
IMOS,2010-01-20 00:00:00,Rhizosolenia imbricata,Diatom,738000
IMOS,2010-01-20 00:00:00,Rhizosolenia setigera,Diatom,369000
IMOS,2010-01-20 00:00:00,Scrippsiella spp.,Dinoflagellate,1846000
IMOS,2010-01-20 00:00:00,Skeletonema spp.,Diatom,6277000
IMOS,2010-01-20 00:00:00,Thalassiosira gravida,Diatom,1477000
IMOS,2010-01-20 00:00:00,Thalassiosira spp. 10-20 µm,Diatom,1108000
IMOS,2010-01-20 00:00:00,Tripos spp.,Dinoflagellate,2585000
IMOS,2012-02-13 00:00:00,Asterionellopsis spp. ~50 µm length,Diatom,2571000
IMOS,2012-02-13 00:00:00,Bacteriastrum spp.,Diatom,138000
IMOS,2012-02-13 00:00:00,Cerataulina spp. ~150 µm length,Diatom,184000
IMOS,2012-02-13 00:00:00,Chaetoceros lorenzianus,Diatom,92000
IMOS,2012-02-13 00:00:00,Chaetoceros spp. < 10 µm cell width,Diatom,138000
IMOS,2012-02-13 00:00:00,Coscinodiscus spp.,Diatom,46000
IMOS,2012-02-13 00:00:00,Cylindrotheca closterium,Diatom,459000
IMOS,2012-02-13 00:00:00,Dactyliosolen fragilissimus,Diatom,138000
IMOS,2012-02-13 00:00:00,Guinardia delicatula,Diatom,92000
IMOS,2012-02-13 00:00:00,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,46000
IMOS,2012-02-13 00:00:00,Gyrodinium spp.,Dinoflagellate,92000
IMOS,2012-02-13 00:00:00,Leptocylindrus danicus,Diatom,6566000
IMOS,2012-02-13 00:00:00,Leptocylindrus minimus,Diatom,505000
IMOS,2012-02-13 00:00:00,Noctiluca scintillans,Dinoflagellate,18000
IMOS,2012-02-13 00:00:00,Oxytoxum spp.,Dinoflagellate,46000
IMOS,2012-02-13 00:00:00,Pleurosigma spp. < 150 µm,Diatom,184000
IMOS,2012-02-13 00:00:00,Proboscia alata,Diatom,46000
IMOS,2012-02-13 00:00:00,Protoperidinium spp.,Dinoflagellate,46000
IMOS,2012-02-13 00:00:00,Pseudo-nitzschia delicatissima complex <=3 µm,Diatom,3398000
IMOS,2012-02-13 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,413000
IMOS,2012-02-13 00:00:00,Pseudosolenia spp. ~30 µm cell width,Diatom,46000
IMOS,2012-02-13 00:00:00,Rhizosolenia imbricata,Diatom,92000
IMOS,2012-02-13 00:00:00,Rhizosolenia setigera,Diatom,184000
IMOS,2012-02-13 00:00:00,Thalassiosira gravida,Diatom,138000
IMOS,2012-02-13 00:00:00,Thalassiosira spp. 10-20 µm,Diatom,46000
IMOS,2012-02-13 00:00:00,Tripos furca,Dinoflagellate,23000
IMOS,2011-04-21 00:00:00,Amphidinium spp. <30 µm cell height,Dinoflagellate,49000
IMOS,2011-04-21 00:00:00,Bacteriastrum spp.,Diatom,3054000
IMOS,2011-04-21 00:00:00,Chaetoceros spp. < 10 µm cell width,Diatom,197000
IMOS,2011-04-21 00:00:00,Climacodium spp.,Diatom,59000
IMOS,2011-04-21 00:00:00,Cylindrotheca closterium,Diatom,542000
IMOS,2011-04-21 00:00:00,Dactyliosolen fragilissimus,Diatom,1379000
IMOS,2011-04-21 00:00:00,Hemiaulus spp.,Diatom,49000
IMOS,2011-04-21 00:00:00,Leptocylindrus danicus,Diatom,837000
IMOS,2011-04-21 00:00:00,Leptocylindrus minimus,Diatom,3300000
IMOS,2011-04-21 00:00:00,Navicula cf. 100-120 µm length,Diatom,49000
IMOS,2011-04-21 00:00:00,Oxytoxum spp.,Dinoflagellate,148000
IMOS,2011-04-21 00:00:00,Pseudo-nitzschia delicatissima complex <=3 µm,Diatom,3547000
IMOS,2011-04-21 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,887000
IMOS,2011-04-21 00:00:00,Trichodesmium spp.,Cyanobacteria,887000
IMOS,2011-04-21 00:00:00,Tripos macroceros,Dinoflagellate,10000
IMOS,2009-06-24 00:00:00,Asterionellopsis glacialis,Diatom,554000
IMOS,2009-06-24 00:00:00,Cerataulina pelagica,Diatom,138000
IMOS,2009-06-24 00:00:00,Chaetoceros spp. 20-30 µm,Diatom,254000
IMOS,2009-06-24 00:00:00,Chaetoceros spp. < 10 µm cell width,Diatom,2123000
IMOS,2009-06-24 00:00:00,Coscinodiscus radiatus,Diatom,23000
IMOS,2009-06-24 00:00:00,Cylindrotheca closterium,Diatom,669000
IMOS,2009-06-24 00:00:00,Dactyliosolen fragilissimus,Diatom,69000
IMOS,2009-06-24 00:00:00,Dinophysis spp.,Dinoflagellate,23000
IMOS,2009-06-24 00:00:00,Guinardia delicatula,Diatom,185000
IMOS,2009-06-24 00:00:00,Guinardia flaccida <150 µm length,Diatom,46000
IMOS,2009-06-24 00:00:00,Guinardia striata,Diatom,46000
IMOS,2009-06-24 00:00:00,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,46000
IMOS,2009-06-24 00:00:00,Helicotheca spp.,Diatom,23000
IMOS,2009-06-24 00:00:00,Hemiaulus spp.,Diatom,23000
IMOS,2009-06-24 00:00:00,Lauderia annulata < 70 µm length,Diatom,69000
IMOS,2009-06-24 00:00:00,Leptocylindrus danicus,Diatom,185000
IMOS,2009-06-24 00:00:00,Leptocylindrus mediterraneus,Diatom,46000
IMOS,2009-06-24 00:00:00,Navicula cf. 40-60 µm length,Diatom,69000
IMOS,2009-06-24 00:00:00,Oxytoxum spp.,Dinoflagellate,46000
IMOS,2009-06-24 00:00:00,Pleurosigma spp. < 150 µm,Diatom,92000
IMOS,2009-06-24 00:00:00,Prorocentrum spp.,Dinoflagellate,23000
IMOS,2009-06-24 00:00:00,Protoperidinium spp.,Dinoflagellate,69000
IMOS,2009-06-24 00:00:00,Pseudo-nitzschia delicatissima complex <=3 µm,Diatom,2677000
IMOS,2009-06-24 00:00:00,Rhizosolenia setigera,Diatom,23000
IMOS,2009-06-24 00:00:00,Scrippsiella spp.,Dinoflagellate,69000
IMOS,2009-06-24 00:00:00,Thalassionema spp. > 100 µm length,Diatom,92000
IMOS,2009-06-24 00:00:00,Thalassiosira spp. 10-20 µm,Diatom,46000
IMOS,2009-06-24 00:00:00,Tripos spp.,Dinoflagellate,23000
IMOS,2012-03-12 00:00:00,Akashiwo spp.,Dinoflagellate,48000
IMOS,2012-03-12 00:00:00,Amphidinium spp. <30 µm cell height,Dinoflagellate,95000
IMOS,2012-03-12 00:00:00,Brachidinium spp.,Dinoflagellate,48000
IMOS,2012-03-12 00:00:00,Dinophysis tripos,Dinoflagellate,95000
IMOS,2012-03-12 00:00:00,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,713000
IMOS,2012-03-12 00:00:00,Gyrodinium spp. 20-40 µm,Dinoflagellate,570000
IMOS,2012-03-12 00:00:00,Oxytoxum spp.,Dinoflagellate,48000
IMOS,2012-03-12 00:00:00,Prorocentrum spp.,Dinoflagellate,166000
IMOS,2012-03-12 00:00:00,Protoperidinium spp.,Dinoflagellate,238000
IMOS,2012-03-12 00:00:00,Pseudo-nitzschia delicatissima complex <=3 µm,Diatom,19285000
IMOS,2012-03-12 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,285000
IMOS,2012-03-12 00:00:00,Rhizosolenia setigera,Diatom,48000
IMOS,2012-03-12 00:00:00,Scrippsiella spp.,Dinoflagellate,285000
IMOS,2012-03-12 00:00:00,Thalassiosira gravida,Diatom,48000
IMOS,2012-03-12 00:00:00,Tripos furca,Dinoflagellate,48000
IMOS,2012-03-12 00:00:00,Tripos fusus,Dinoflagellate,95000
IMOS,2012-03-12 00:00:00,Tripos lineatus,Dinoflagellate,238000
IMOS,2011-10-19 00:00:00,Amphidinium spp. <30 µm cell height,Dinoflagellate,104000
IMOS,2011-10-19 00:00:00,Cerataulina spp. ~150 µm length,Diatom,311000
IMOS,2011-10-19 00:00:00,Chaetoceros curvisetus,Diatom,207000
IMOS,2011-10-19 00:00:00,Chaetoceros danicus,Diatom,52000
IMOS,2011-10-19 00:00:00,Chaetoceros eibenii,Diatom,207000
IMOS,2011-10-19 00:00:00,Chaetoceros lorenzianus,Diatom,104000
IMOS,2011-10-19 00:00:00,Chaetoceros spp. < 10 µm cell width,Diatom,673000
IMOS,2011-10-19 00:00:00,Coscinodiscus spp.,Diatom,52000
IMOS,2011-10-19 00:00:00,Cyanobacteria cluster,Cyanobacteria,1553000
IMOS,2011-10-19 00:00:00,Cylindrotheca closterium,Diatom,155000
IMOS,2011-10-19 00:00:00,Dinophysis spp.,Dinoflagellate,52000
IMOS,2011-10-19 00:00:00,Eucampia spp. <100 µm cell length,Diatom,259000
IMOS,2011-10-19 00:00:00,Gonyaulax spp.,Dinoflagellate,52000
IMOS,2011-10-19 00:00:00,Guinardia delicatula,Diatom,5331000
IMOS,2011-10-19 00:00:00,Guinardia flaccida <150 µm length,Diatom,52000
IMOS,2011-10-19 00:00:00,Guinardia striata,Diatom,518000
IMOS,2011-10-19 00:00:00,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,362000
IMOS,2011-10-19 00:00:00,Gyrodinium spp.,Dinoflagellate,362000
IMOS,2011-10-19 00:00:00,Hemiaulus spp.,Diatom,104000
IMOS,2011-10-19 00:00:00,Lauderia annulata < 70 µm length,Diatom,207000
IMOS,2011-10-19 00:00:00,Leptocylindrus danicus,Diatom,2536000
IMOS,2011-10-19 00:00:00,Leptocylindrus mediterraneus,Diatom,104000
IMOS,2011-10-19 00:00:00,Leptocylindrus minimus,Diatom,311000
IMOS,2011-10-19 00:00:00,Navicula cf. 60-80 µm length,Diatom,362000
IMOS,2011-10-19 00:00:00,Navicula septentrionalis,Diatom,621000
IMOS,2011-10-19 00:00:00,Noctiluca scintillans,Dinoflagellate,21000
IMOS,2011-10-19 00:00:00,Oxytoxum spp.,Dinoflagellate,52000
IMOS,2011-10-19 00:00:00,Pleurosigma spp. < 150 µm,Diatom,259000
IMOS,2011-10-19 00:00:00,Proboscia alata,Diatom,776000
IMOS,2011-10-19 00:00:00,Protoperidinium pellucidum,Dinoflagellate,104000
IMOS,2011-10-19 00:00:00,Pseudo-nitzschia delicatissima complex <=3 µm,Diatom,7971000
IMOS,2011-10-19 00:00:00,Pseudo-nitzschia seriata complex >3 µm,Diatom,2070000
IMOS,2011-10-19 00:00:00,Rhizosolenia fallax,Diatom,259000
IMOS,2011-10-19 00:00:00,Rhizosolenia setigera,Diatom,104000
IMOS,2011-10-19 00:00:00,Skeletonema spp.,Diatom,1760000
IMOS,2011-10-19 00:00:00,Stephanopyxis spp.,Diatom,828000
IMOS,2011-10-19 00:00:00,Thalassiosira spp. 10-20 µm,Diatom,104000
IMOS,2011-10-19 00:00:00,Thalassiosira spp. 20-40 µm,Diatom,414000
IMOS,2011-10-19 00:00:00,Trichodesmium spp.,Cyanobacteria,52000
IMOS,2011-12-07 00:00:00,Bacteriastrum spp.,Diatom,80000
IMOS,2011-12-07 00:00:00,Cerataulina spp. ~150 µm length,Diatom,400000
IMOS,2011-12-07 00:00:00,Chaetoceros didymus,Diatom,80000
IMOS,2011-12-07 00:00:00,Chaetoceros eibenii,Diatom,80000
IMOS,2011-12-07 00:00:00,Chaetoceros spp. < 10 µm cell width,Diatom,1399000
IMOS,2011-12-07 00:00:00,Coscinodiscus spp.,Diatom,80000
IMOS,2011-12-07 00:00:00,Cylindrotheca closterium,Diatom,320000
